Problem size,Base_CUDA-compile_time_block_stride_loop_64,Base_Seq-default,RAJA_CUDA-cached_block_stride_loop_64,RAJA_CUDA-compile_time_block_stride_loop_64
196608,13.5704,0.189198,19.1632,20.2873
389120,26.8231,0.189853,38.096,40.0042
778240,53.0688,0.192069,75.3143,79.797
1556480,94.9269,0.191844,108.856,117.855
3108864,162.839,0.187071,152.047,164.577
6213632,179.945,0.186147,175.507,192.851
9101312,188.677,0.185918,180.851,198.776
18198528,218.752,0.185614,201.752,224.806
24260608,220.49,0.184607,201.658,224.953
30326784,222.162,0.186821,202.225,225.791
36392960,228.994,0.184956,208.098,214.629
