Problem size,Base_CUDA-direct_64,Base_CUDA-runtime_block_stride_loop_64,Base_Seq-default,RAJA_CUDA-cached_block_stride_loop_64,RAJA_CUDA-direct_64,RAJA_CUDA-runtime_block_stride_loop_64
5376,40.5998,25.2277,3.97645,26.1748,41.7224,26.2766
21312,99.89089999999999,60.7947,4.03578,63.610400000000006,104.24369999999999,63.856300000000005
85056,159.182,96.3617,4.06186,101.046,166.765,101.436
169920,279.378,178.801,4.06186,186.69,291.695,187.242
339840,430.166,304.323,4.09511,312.599,446.023,312.635
679680,568.529,380.403,4.08355,380.057,557.927,379.635
1359360,681.084,458.687,4.06186,454.106,672.94,453.847
2718720,729.4,500.232,4.04509,488.989,724.725,489.954
5437248,758.443,521.457,3.74583,492.28,749.481,492.59
7964736,767.582,527.3634999999999,3.735295,497.456,758.4035,497.69399999999996
15929280,776.721,533.27,3.72476,502.632,767.326,502.798
