Problem size,Base_CUDA-direct_1024,Base_Seq-direct,RAJA_CUDA-direct_1024,RAJA_CUDA-funcptr_1024,RAJA_CUDA-virtfunc_1024
42875,38.7235,35.4562,35.0238,32.7541,32.4712
91125,45.114900000000006,30.61465,37.6458,38.2547,37.9915
205379,51.5063,25.7731,40.2678,43.7553,43.5118
421875,60.5788,19.5101,58.8854,55.7691,55.5149
884736,73.5342,15.2354,74.6275,69.6403,70.7258
1860867,78.1177,14.1839,75.5354,72.6788,72.5391
2744000,83.5172,13.453,83.7469,79.0234,78.0234
5639752,83.8245,11.488,84.1051,79.2586,78.8235
7645373,83.9146,11.4005,84.1051,79.2586,78.8235
9528128,83.86955,11.10775,83.92599999999999,79.14099999999999,78.64425
11543176,83.9146,10.815,83.7469,79.2586,78.8235
