Problem size,Base_CUDA-direct_64,Base_CUDA-runtime_block_stride_loop_64,Base_OpenMP-default,RAJA_CUDA-cached_block_stride_loop_64,RAJA_CUDA-direct_64,RAJA_CUDA-runtime_block_stride_loop_64,RAJA_OpenMP-default
5376,131.515,80.9463,70.6397,85.4029,137.931,85.2238,47.2264
21312,318.49,194.78665,114.78935,205.56745,332.6605,206.51389999999998,88.49369999999999
85056,505.465,308.627,158.939,325.732,527.39,327.804,129.761
169920,913.094,582.421,195.552,611.569,947.288,610.226,186.971
339840,1402.91,996.809,232.349,1023.89,1450.0,1023.78,201.069
679680,1861.17,1246.45,256.065,1246.9,1825.75,1244.71,235.945
1359360,2249.43,1516.85,267.276,1498.85,2220.08,1497.64,279.754
2718720,2387.16,1637.71,274.364,1602.97,2373.3,1602.45,322.602
5437248,2493.18,1712.47,274.364,1616.0,2456.71,1616.5,322.602
7964736,2526.63,1736.38,274.826,1637.56,2493.77,1637.83,326.181
15929280,2560.08,1760.29,274.364,1659.12,2530.83,1659.16,329.76
