Problem size,Base_CUDA-block_256,Base_OpenMP-default,RAJA_CUDA-block_256,RAJA_OpenMP-default
1000,65.7598,8.35392,66.6716,6.71828
5832,168.4469,9.496410000000001,169.1128,8.125440000000001
27000,271.134,10.6389,271.554,9.5326
54872,425.5,15.3146,425.794,15.2534
117649,609.473,15.8592,612.212,15.7937
238328,718.709,15.8592,726.006,15.7937
493039,829.314,16.0386,829.918,15.9919
1000000,869.604,16.0786,872.56,16.0954
2048383,882.213,16.0786,884.227,16.0954
2985984,890.0865,16.06005,891.718,15.808250000000001
6028568,882.213,16.0786,884.227,16.0954
